INFO:root:Directory output/GC7M created, training output will be saved here
INFO:root:Copied config file!
INFO:root:Copied the Generator and Discriminator files
INFO:root:Data size is 974677 images
INFO:root:Is GPU available? True
INFO:root:Starting Training Loop...
INFO:root:[0/1000][0/7615]	Loss_D: 2.2852	Loss_G: 6.3580	D(x): 0.4118	D(G(z)): 0.5875 / 0.0031	Time: 10.83s
INFO:root:[0/1000][50/7615]	Loss_D: 0.1314	Loss_G: 22.5677	D(x): 0.9218	D(G(z)): 0.0000 / 0.0000	Time: 47.58s
INFO:root:[0/1000][100/7615]	Loss_D: 0.0033	Loss_G: 35.2705	D(x): 0.9968	D(G(z)): 0.0000 / 0.0000	Time: 48.86s
INFO:root:[0/1000][150/7615]	Loss_D: 0.0025	Loss_G: 40.4820	D(x): 0.9975	D(G(z)): 0.0000 / 0.0000	Time: 47.20s
INFO:root:[0/1000][200/7615]	Loss_D: 0.0009	Loss_G: 39.8991	D(x): 0.9991	D(G(z)): 0.0000 / 0.0000	Time: 48.71s
INFO:root:[0/1000][250/7615]	Loss_D: 0.0003	Loss_G: 39.1470	D(x): 0.9997	D(G(z)): 0.0000 / 0.0000	Time: 47.39s
INFO:root:[0/1000][300/7615]	Loss_D: 0.0001	Loss_G: 38.9942	D(x): 0.9999	D(G(z)): 0.0000 / 0.0000	Time: 48.22s
INFO:root:[0/1000][350/7615]	Loss_D: 0.0001	Loss_G: 39.1800	D(x): 0.9999	D(G(z)): 0.0000 / 0.0000	Time: 48.33s
INFO:root:[0/1000][400/7615]	Loss_D: 0.0001	Loss_G: 38.6815	D(x): 0.9999	D(G(z)): 0.0000 / 0.0000	Time: 47.60s
INFO:root:[0/1000][450/7615]	Loss_D: 0.0002	Loss_G: 38.2072	D(x): 0.9998	D(G(z)): 0.0000 / 0.0000	Time: 47.01s
INFO:root:[0/1000][500/7615]	Loss_D: 0.0001	Loss_G: 37.8710	D(x): 0.9999	D(G(z)): 0.0000 / 0.0000	Time: 48.02s
INFO:root:[0/1000][550/7615]	Loss_D: 0.0000	Loss_G: 37.1922	D(x): 1.0000	D(G(z)): 0.0000 / 0.0000	Time: 45.68s
INFO:root:[0/1000][600/7615]	Loss_D: 0.0001	Loss_G: 12.4199	D(x): 1.0000	D(G(z)): 0.0000 / 0.0000	Time: 46.76s
INFO:root:[0/1000][650/7615]	Loss_D: 0.0002	Loss_G: 38.2480	D(x): 0.9998	D(G(z)): 0.0000 / 0.0000	Time: 45.50s
INFO:root:[0/1000][700/7615]	Loss_D: 0.0001	Loss_G: 37.5653	D(x): 0.9999	D(G(z)): 0.0000 / 0.0000	Time: 45.93s
INFO:root:[0/1000][750/7615]	Loss_D: 0.0001	Loss_G: 37.2890	D(x): 0.9999	D(G(z)): 0.0000 / 0.0000	Time: 46.58s
INFO:root:[0/1000][800/7615]	Loss_D: 0.0001	Loss_G: 37.0315	D(x): 0.9999	D(G(z)): 0.0000 / 0.0000	Time: 45.33s
INFO:root:[0/1000][850/7615]	Loss_D: 0.0000	Loss_G: 36.5988	D(x): 1.0000	D(G(z)): 0.0000 / 0.0000	Time: 44.84s
INFO:root:[0/1000][900/7615]	Loss_D: 0.0000	Loss_G: 36.1732	D(x): 1.0000	D(G(z)): 0.0000 / 0.0000	Time: 44.94s
INFO:root:[0/1000][950/7615]	Loss_D: 0.0000	Loss_G: 35.4210	D(x): 1.0000	D(G(z)): 0.0000 / 0.0000	Time: 44.78s
INFO:root:[0/1000][1000/7615]	Loss_D: 1.8276	Loss_G: 18.1931	D(x): 0.8432	D(G(z)): 0.5394 / 0.0000	Time: 46.31s
INFO:root:[0/1000][1050/7615]	Loss_D: 0.8100	Loss_G: 9.2325	D(x): 0.9069	D(G(z)): 0.4428 / 0.0005	Time: 46.75s
INFO:root:[0/1000][1100/7615]	Loss_D: 0.7279	Loss_G: 7.6731	D(x): 0.9517	D(G(z)): 0.4100 / 0.0019	Time: 46.25s
INFO:root:[0/1000][1150/7615]	Loss_D: 0.5638	Loss_G: 7.1449	D(x): 0.9081	D(G(z)): 0.3068 / 0.0028	Time: 45.98s
INFO:root:[0/1000][1200/7615]	Loss_D: 0.3257	Loss_G: 4.7242	D(x): 0.8292	D(G(z)): 0.0216 / 0.0280	Time: 46.22s
INFO:root:[0/1000][1250/7615]	Loss_D: 0.5332	Loss_G: 4.4239	D(x): 0.7660	D(G(z)): 0.1407 / 0.0212	Time: 46.12s
INFO:root:[0/1000][1300/7615]	Loss_D: 2.4107	Loss_G: 13.4233	D(x): 0.9790	D(G(z)): 0.8744 / 0.0000	Time: 46.25s
INFO:root:[0/1000][1350/7615]	Loss_D: 0.5969	Loss_G: 5.7632	D(x): 0.9285	D(G(z)): 0.3772 / 0.0061	Time: 45.91s
INFO:root:[0/1000][1400/7615]	Loss_D: 1.1758	Loss_G: 2.1040	D(x): 0.6061	D(G(z)): 0.3827 / 0.1630	Time: 45.37s
INFO:root:[0/1000][1450/7615]	Loss_D: 0.7861	Loss_G: 2.3722	D(x): 0.6070	D(G(z)): 0.0615 / 0.1276	Time: 45.49s
INFO:root:[0/1000][1500/7615]	Loss_D: 0.7966	Loss_G: 5.6346	D(x): 0.9059	D(G(z)): 0.4195 / 0.0110	Time: 44.98s
INFO:root:[0/1000][1550/7615]	Loss_D: 0.3374	Loss_G: 2.9212	D(x): 0.8423	D(G(z)): 0.1209 / 0.0692	Time: 45.77s
INFO:root:[0/1000][1600/7615]	Loss_D: 0.5641	Loss_G: 2.7363	D(x): 0.7362	D(G(z)): 0.1704 / 0.0917	Time: 45.23s
INFO:root:[0/1000][1650/7615]	Loss_D: 0.8831	Loss_G: 1.4298	D(x): 0.5172	D(G(z)): 0.0169 / 0.3154	Time: 45.07s
INFO:root:[0/1000][1700/7615]	Loss_D: 0.5360	Loss_G: 3.8132	D(x): 0.7038	D(G(z)): 0.0813 / 0.0391	Time: 50.10s
INFO:root:[0/1000][1750/7615]	Loss_D: 0.6467	Loss_G: 1.5017	D(x): 0.6299	D(G(z)): 0.0911 / 0.2758	Time: 61.55s
INFO:root:[0/1000][1800/7615]	Loss_D: 0.7338	Loss_G: 2.2959	D(x): 0.6337	D(G(z)): 0.1095 / 0.1565	Time: 60.14s
INFO:root:[0/1000][1850/7615]	Loss_D: 0.8462	Loss_G: 4.6419	D(x): 0.7566	D(G(z)): 0.3261 / 0.0207	Time: 62.37s
