INFO:root:Directory output/3CK2 created, training output will be saved here
INFO:root:Copied config file!
INFO:root:Copied the Generator and Discriminator files
INFO:root:Data size is 974677 images
INFO:root:Is GPU available? True
INFO:root:Starting Training Loop...
INFO:root:[0/1000][0/7615]	Loss_D: 1.5860	Loss_G: 11.9109	D(x): 0.7099	D(G(z)): 0.5901 / 0.0000	Time: 8.36s
INFO:root:[0/1000][50/7615]	Loss_D: 0.0051	Loss_G: 44.1452	D(x): 0.9952	D(G(z)): 0.0000 / 0.0000	Time: 75.58s
INFO:root:[0/1000][100/7615]	Loss_D: 0.0001	Loss_G: 43.4500	D(x): 0.9999	D(G(z)): 0.0000 / 0.0000	Time: 75.53s
INFO:root:[0/1000][150/7615]	Loss_D: 0.0001	Loss_G: 43.2192	D(x): 0.9999	D(G(z)): 0.0000 / 0.0000	Time: 75.41s
INFO:root:[0/1000][200/7615]	Loss_D: 0.0002	Loss_G: 43.1650	D(x): 0.9998	D(G(z)): 0.0000 / 0.0000	Time: 75.30s
INFO:root:[0/1000][250/7615]	Loss_D: 0.0008	Loss_G: 42.7238	D(x): 0.9992	D(G(z)): 0.0000 / 0.0000	Time: 75.38s
INFO:root:[0/1000][300/7615]	Loss_D: 0.0001	Loss_G: 42.7602	D(x): 0.9999	D(G(z)): 0.0000 / 0.0000	Time: 75.34s
INFO:root:[0/1000][350/7615]	Loss_D: 0.0001	Loss_G: 42.4715	D(x): 0.9999	D(G(z)): 0.0000 / 0.0000	Time: 75.39s
INFO:root:[0/1000][400/7615]	Loss_D: 0.0000	Loss_G: 42.4994	D(x): 1.0000	D(G(z)): 0.0000 / 0.0000	Time: 75.53s
INFO:root:[0/1000][450/7615]	Loss_D: 0.0001	Loss_G: 42.4736	D(x): 0.9999	D(G(z)): 0.0000 / 0.0000	Time: 75.50s
INFO:root:[0/1000][500/7615]	Loss_D: 0.0000	Loss_G: 42.5132	D(x): 1.0000	D(G(z)): 0.0000 / 0.0000	Time: 75.49s
INFO:root:[0/1000][550/7615]	Loss_D: 0.0000	Loss_G: 42.3583	D(x): 1.0000	D(G(z)): 0.0000 / 0.0000	Time: 75.51s
INFO:root:[0/1000][600/7615]	Loss_D: 0.0000	Loss_G: 42.1948	D(x): 1.0000	D(G(z)): 0.0000 / 0.0000	Time: 75.44s
INFO:root:[0/1000][650/7615]	Loss_D: 0.0000	Loss_G: 42.1171	D(x): 1.0000	D(G(z)): 0.0000 / 0.0000	Time: 75.50s
INFO:root:[0/1000][700/7615]	Loss_D: 0.0000	Loss_G: 42.1316	D(x): 1.0000	D(G(z)): 0.0000 / 0.0000	Time: 75.39s
INFO:root:[0/1000][750/7615]	Loss_D: 0.0001	Loss_G: 42.0516	D(x): 0.9999	D(G(z)): 0.0000 / 0.0000	Time: 75.40s
INFO:root:[0/1000][800/7615]	Loss_D: 0.0000	Loss_G: 41.7774	D(x): 1.0000	D(G(z)): 0.0000 / 0.0000	Time: 75.37s
INFO:root:[0/1000][850/7615]	Loss_D: 0.0000	Loss_G: 41.8985	D(x): 1.0000	D(G(z)): 0.0000 / 0.0000	Time: 75.43s
INFO:root:[0/1000][900/7615]	Loss_D: 0.0000	Loss_G: 41.8933	D(x): 1.0000	D(G(z)): 0.0000 / 0.0000	Time: 75.53s
INFO:root:[0/1000][950/7615]	Loss_D: 0.0001	Loss_G: 41.7001	D(x): 0.9999	D(G(z)): 0.0000 / 0.0000	Time: 75.48s
INFO:root:[0/1000][1000/7615]	Loss_D: 0.0000	Loss_G: 41.8265	D(x): 1.0000	D(G(z)): 0.0000 / 0.0000	Time: 75.40s
INFO:root:[0/1000][1050/7615]	Loss_D: 0.0000	Loss_G: 41.8030	D(x): 1.0000	D(G(z)): 0.0000 / 0.0000	Time: 75.44s
INFO:root:[0/1000][1100/7615]	Loss_D: 0.0000	Loss_G: 41.6615	D(x): 1.0000	D(G(z)): 0.0000 / 0.0000	Time: 75.45s
INFO:root:[0/1000][1150/7615]	Loss_D: 0.0000	Loss_G: 41.6917	D(x): 1.0000	D(G(z)): 0.0000 / 0.0000	Time: 75.47s
INFO:root:[0/1000][1200/7615]	Loss_D: 0.0000	Loss_G: 41.6173	D(x): 1.0000	D(G(z)): 0.0000 / 0.0000	Time: 75.51s
INFO:root:[0/1000][1250/7615]	Loss_D: 0.0000	Loss_G: 41.5134	D(x): 1.0000	D(G(z)): 0.0000 / 0.0000	Time: 75.40s
INFO:root:[0/1000][1300/7615]	Loss_D: 0.0000	Loss_G: 41.5791	D(x): 1.0000	D(G(z)): 0.0000 / 0.0000	Time: 75.36s
INFO:root:[0/1000][1350/7615]	Loss_D: 0.0000	Loss_G: 41.4943	D(x): 1.0000	D(G(z)): 0.0000 / 0.0000	Time: 75.36s
INFO:root:[0/1000][1400/7615]	Loss_D: 0.0000	Loss_G: 41.5401	D(x): 1.0000	D(G(z)): 0.0000 / 0.0000	Time: 75.53s
INFO:root:[0/1000][1450/7615]	Loss_D: 0.0000	Loss_G: 41.4410	D(x): 1.0000	D(G(z)): 0.0000 / 0.0000	Time: 75.72s
INFO:root:[0/1000][1500/7615]	Loss_D: 0.0000	Loss_G: 41.3004	D(x): 1.0000	D(G(z)): 0.0000 / 0.0000	Time: 75.41s
INFO:root:[0/1000][1550/7615]	Loss_D: 0.0000	Loss_G: 41.3031	D(x): 1.0000	D(G(z)): 0.0000 / 0.0000	Time: 75.43s
INFO:root:[0/1000][1600/7615]	Loss_D: 0.0000	Loss_G: 41.1872	D(x): 1.0000	D(G(z)): 0.0000 / 0.0000	Time: 75.34s
INFO:root:[0/1000][1650/7615]	Loss_D: 0.0000	Loss_G: 41.1557	D(x): 1.0000	D(G(z)): 0.0000 / 0.0000	Time: 75.33s
INFO:root:[0/1000][1700/7615]	Loss_D: 0.0000	Loss_G: 40.9237	D(x): 1.0000	D(G(z)): 0.0000 / 0.0000	Time: 75.42s
INFO:root:[0/1000][1750/7615]	Loss_D: 0.0000	Loss_G: 40.9013	D(x): 1.0000	D(G(z)): 0.0000 / 0.0000	Time: 75.43s
INFO:root:[0/1000][1800/7615]	Loss_D: 0.0001	Loss_G: 40.9411	D(x): 0.9999	D(G(z)): 0.0000 / 0.0000	Time: 75.47s
INFO:root:[0/1000][1850/7615]	Loss_D: 0.0000	Loss_G: 40.8105	D(x): 1.0000	D(G(z)): 0.0000 / 0.0000	Time: 75.53s
